module	scene	outcome	exception
_2020/patreon_tier_images.py	PatronImage8	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage99	scene_code_error	AttributeError
_2020/sir.py	AsymptomaticCases	missing_asset	OSError
_2020/sir.py	BetweenNothingAndQuarantineWrapper	scene_code_error	NameError
_2020/sir.py	CentralMarket	scene_code_error	AttributeError
_2020/sir.py	CentralMarketDownToZeroFrequency	scene_code_error	AttributeError
_2020/sir.py	CentralMarketLargePopulation	scene_code_error	AttributeError
_2020/sir.py	CentralMarketLessFrequent	scene_code_error	AttributeError
_2020/sir.py	CentralMarketLowerInfection	scene_code_error	AttributeError
_2020/sir.py	CentralMarketQuarantine	scene_code_error	AttributeError
_2020/sir.py	CentralMarketQuarantine80p	scene_code_error	AttributeError
_2020/sir.py	CentralMarketTransitionToLowerInfection	scene_code_error	AttributeError
_2020/sir.py	CentralMarketTransitionToLowerInfectionAndLowerFrequency	scene_code_error	AttributeError
_2020/sir.py	CentralMarketVeryFrequentLargePopulationDelayedSocialDistancing	scene_code_error	AttributeError
_2020/sir.py	CutPInfectionInHalf	missing_asset	OSError
_2020/sir.py	DarkerInterpretation	ok	
_2020/sir.py	DelayedSocialDistancing	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingDot	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingLargeCity	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingLargeCity50p	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingLargeCity70p	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingLargeCity90p	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingLargeCity90pAlt	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingProbHalf	scene_code_error	AttributeError
_2020/sir.py	DelayedSocialDistancingWithDots	scene_code_error	AttributeError
_2020/sir.py	DescribeModel	scene_code_error	IndexError
_2020/sir.py	DontLetThisHappen	ok	
_2020/sir.py	DoubleInfectionRadius	ok	
_2020/sir.py	DoubleRadiusInGroup	missing_asset	OSError
_2020/sir.py	Eradicated	ok	
_2020/sir.py	FastForwardBy2	scene_code_error	AttributeError
_2020/sir.py	FastForwardBy4	scene_code_error	AttributeError
_2020/sir.py	GraciousPi	missing_asset	OSError
_2020/sir.py	HowR0IsCalculatedHere	scene_code_error	TypeError
_2020/sir.py	IndicationArrow	scene_code_error	TypeError
_2020/sir.py	IntroduceR0	missing_asset	OSError
_2020/sir.py	IntroduceSocialDistancing	missing_asset	OSError
_2020/sir.py	KeyTakeaways	scene_code_error	TypeError
_2020/sir.py	LargeCityHighInfectionRadius	scene_code_error	AttributeError
_2020/sir.py	LargeCityLowerInfectionRate	scene_code_error	AttributeError
_2020/sir.py	LargerCity	scene_code_error	AttributeError
_2020/sir.py	LargerCity2	scene_code_error	AttributeError
_2020/sir.py	LeftArrow	ok	
_2020/sir.py	NickyCaseMention	ok	
_2020/sir.py	PInfectionSlider	scene_code_error	TypeError
_2020/sir.py	PonderingRandy	missing_asset	OSError
_2020/sir.py	QuarantineInfectious	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectious50p	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectious80p	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectiousLarger	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectiousLarger50p	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectiousLarger80p	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectiousLargerWithTail	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectiousTravel	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectiousTravel50p	scene_code_error	AttributeError
_2020/sir.py	QuarantineInfectiousTravel80p	scene_code_error	AttributeError
_2020/sir.py	QuarteringLines	ok	
_2020/sir.py	R0Categories	ok	
_2020/sir.py	R0Rect	ok	
_2020/sir.py	REq	ok	
_2020/sir.py	RealR0Estimates	missing_asset	OSError
_2020/sir.py	ReduceInfectionDuration	scene_code_error	AttributeError
_2020/sir.py	RunSimpleSimulation	scene_code_error	AttributeError
_2020/sir.py	RunSimpleSimulationWithDots	scene_code_error	AttributeError
_2020/sir.py	SARS2002	missing_asset	OSError
_2020/sir.py	SecondWave	scene_code_error	AttributeError
_2020/sir.py	SimpleSocialDistancing	scene_code_error	AttributeError
_2020/sir.py	SimpleTravel	scene_code_error	AttributeError
_2020/sir.py	SimpleTravel2	scene_code_error	AttributeError
_2020/sir.py	SimpleTravelDelayedSocialDistancing	scene_code_error	AttributeError
_2020/sir.py	SimpleTravelDelayedSocialDistancing20p	scene_code_error	AttributeError
_2020/sir.py	SimpleTravelDelayedSocialDistancing50p	scene_code_error	AttributeError
